[2025-11-12 02:07:44] [UNKNOWN] server.port "28015"
[2025-11-12 02:07:44] [UNKNOWN] server.level "Procedural Map"
[2025-11-12 02:07:44] [UNKNOWN] server.identity "my_server_identity"
[2025-11-12 12:33:13] [USER 76561199145125286 38.150.15.252:50464] lighttoggle
[2025-11-12 12:33:13] [USER 76561199145125286 38.150.15.252:50464] lighttoggle
[2025-11-12 12:33:14] [USER 76561199145125286 38.150.15.252:50464] lighttoggle
[2025-11-12 12:33:15] [USER 76561199145125286 38.150.15.252:50464] inventory.endloot
[2025-11-12 12:33:18] [USER 76561199145125286 38.150.15.252:50464] inventory.endloot
[2025-11-12 12:33:20] [USER 76561199145125286 38.150.15.252:50464] inventory.endloot
[2025-11-12 12:33:22] [USER 76561199145125286 38.150.15.252:50464] inventory.endloot
[2025-11-12 12:33:38] [USER 76561199145125286 38.150.15.252:50464] inventory.endloot
[2025-11-12 12:33:43] [USER 76561199145125286 38.150.15.252:50464] inventory.endloot
[2025-11-12 12:33:45] [USER 76561199145125286 38.150.15.252:50464] inventory.endloot
[2025-11-12 12:33:47] [USER 76561199145125286 38.150.15.252:50464] inventory.endloot
[2025-11-12 12:33:55] [USER 76561199145125286 38.150.15.252:50464] inventory.endloot
[2025-11-12 12:34:08] [USER 76561199145125286 38.150.15.252:50464] inventory.endloot
[2025-11-12 12:38:44] [USER 76561199145125286 38.150.15.252:50464] lighttoggle
[2025-11-12 12:38:44] [USER 76561199145125286 38.150.15.252:50464] lighttoggle
[2025-11-12 12:38:52] [USER 76561199145125286 38.150.15.252:50464] server.save
